label,TYPE_ACCELEROMETER_X(Mean),TYPE_ACCELEROMETER_Y(Mean),TYPE_ACCELEROMETER_Z(Mean),TYPE_GYROSCOPE_X(Mean),TYPE_GYROSCOPE_Y(Mean),TYPE_GYROSCOPE_Z(Mean),TYPE_ACCELEROMETER_X(S.D),TYPE_ACCELEROMETER_Y(S.D),TYPE_ACCELEROMETER_Z(S.D),TYPE_GYROSCOPE_X(S.D),TYPE_GYROSCOPE_Y(S.D),TYPE_GYROSCOPE_Z(S.D),TYPE_ACCELEROMETER_X(Varience),TYPE_ACCELEROMETER_Y(Varience),TYPE_ACCELEROMETER_Z(Varience),TYPE_GYROSCOPE_X(Varience),TYPE_GYROSCOPE_Y(Varience),TYPE_GYROSCOPE_Z(Varience)
walking,-2.35328368305,9.4014541515,-0.58662108715,-0.212314487050505,-0.132343947818182,0.115157460272727,3.22080835483769,4.19921585286787,3.9249906635668,1.05451058548366,1.12947160874921,1.29834086469238,10.3736064585923,17.6334137789768,15.4055517090865,1.11199257489708,1.27570611497052,1.68568900093017
walking,-1.30096922626,9.7599023336,-0.33580138619,-0.10511779801,0.09037933164,-0.03475952305,3.50054927237529,5.24081878771129,4.36309109993459,1.25409202555456,1.13147418710144,1.43393734579455,12.2538452083272,27.4661815656276,19.0365639463284,1.57274680855955,1.28023383607686,2.05617631166431
walking,-0.8213006484,9.71707348016,-0.24593642278,-0.09989471589,0.04408721493,-0.10318297915,3.4032848614664,5.46862350378122,4.46549510045861,1.26086966383959,1.19798963439813,1.40184016315335,11.5823478482864,29.9058430261084,19.9406464922199,1.58979230919095,1.43517916412537,1.96515584302981
walking,-0.71132751129,9.81374633608,-0.29980422763,-0.07680206362,-0.06031036803,-0.13027038367,3.18211268751675,5.20026238402157,4.33680134259098,1.21968061369959,1.25796610275169,1.31925679610692,10.125841156055,27.0427288626697,18.8078458850989,1.4876207994346,1.58247871567227,1.7404384940743
walking,-0.6455340525,10.04903412402,-0.35157729997,-0.0393646247,-0.05587768864,-0.14288483034,2.98665951519599,4.99504676424077,4.09919327467596,1.23758549897798,1.27249932450385,1.33285341494239,8.92013505971073,24.9504921769522,16.8033855031486,1.53161786728058,1.61925453086276,1.7764982257236
walking,-0.56788634864,10.0418334867,-0.34938735778,-0.0035614005,-0.02667541862,-0.14004364477,3.02010300651485,5.27599018629155,4.30178645795818,1.32555267771168,1.23366336404703,1.36061465359654,9.12102216996003,27.8360724458447,18.5053667298724,1.75708990138861,1.52192529579184,1.85127223558164
walking,-0.52256409058,9.839055635,-0.46778701475,0.00591278249,0.07358856095,-0.15262604145,2.77490949305706,5.60416023034512,4.30387483179196,1.33031590824247,1.15593933950747,1.31517002958704,7.70012269465817,31.4066118873819,18.5233385677323,1.76974041572298,1.33619575662097,1.72967220672398
walking,-0.46238831499,9.7442573593,-0.57121413865,0.0128128063,0.05172424305,-0.19786072118,2.79199778909767,5.67348585815427,4.4709378310336,1.33596810804196,1.19839837095292,1.27155284073501,7.79525165432628,32.1884417826765,19.9892850889674,1.78481078570522,1.43615865550262,1.61684662678127
walking,-0.41054382641,9.6512621849,-0.48893066044,0.03460235639,-0.01931610488,-0.18759613181,3.09040604187107,5.69540832057646,4.64635676482595,1.34752739607873,1.23559704880601,1.32344617998002,9.55060950363322,32.4376759380916,21.5886311860439,1.81583008318271,1.52670006701812,1.75150979130371
walking,-0.38935851942,9.63587903709,-0.4681738146,-0.00487518325,0.00945892096,-0.15088500756,3.04874506833704,5.68425513350527,4.40842520286035,1.35197092144063,1.10921809079007,1.34759517641967,9.29484649170944,32.310756422781,19.4342127692143,1.82782537242102,1.23036477293597,1.81601275950957
