label,TYPE_ACCELEROMETER_X(Mean),TYPE_ACCELEROMETER_Y(Mean),TYPE_ACCELEROMETER_Z(Mean),TYPE_GYROSCOPE_X(Mean),TYPE_GYROSCOPE_Y(Mean),TYPE_GYROSCOPE_Z(Mean),TYPE_ACCELEROMETER_X(S.D),TYPE_ACCELEROMETER_Y(S.D),TYPE_ACCELEROMETER_Z(S.D),TYPE_GYROSCOPE_X(S.D),TYPE_GYROSCOPE_Y(S.D),TYPE_GYROSCOPE_Z(S.D),TYPE_ACCELEROMETER_X(varience),TYPE_ACCELEROMETER_Y(varience),TYPE_ACCELEROMETER_Z(varience),TYPE_GYROSCOPE_X(varience),TYPE_GYROSCOPE_Y(varience),TYPE_GYROSCOPE_Z(varience)
walking,-3.38305603342,8.967357826,-1.84352844245,0.031220714681818,0.128708039848485,-0.262495408424242,2.19511268065321,3.06776112514952,2.34562695411093,0.790211029544645,0.741572499508578,1.06116609735501,4.81851968076452,9.41115832097865,5.50196580785172,0.624433471214008,0.5499297720274,1.12607348617567
walking,-2.33183654476,9.208679831,-0.67543273942,0.107914728865,0.04497222736,-0.1696746873,2.202583439697,3.82771054838387,2.34053391144084,1.0175156613021,0.803526078723568,1.25368580462907,4.85137380882745,14.6513680422092,5.47809899060454,1.03533812099505,0.645654159188874,1.57172809672844
walking,-2.42828919378,9.681558383,-0.60802062227,0.04846343834,-0.153152465496,-0.0072036776,2.65536365740283,3.62142457027831,2.54932192229248,1.06751836649129,0.921102294019027,1.33363923485357,7.05095615305572,13.1147159182154,6.49904226348105,1.13959546279622,0.848429436047114,1.77859360874082
walking,-2.86180238554,9.8697862,-1.02432372454,-0.09057311785,-0.172933956386,0.13245239325,3.37690837553395,4.00354864621788,3.12433592685738,1.05562042714233,1.02548481017947,1.27877405067066,11.4035101767514,16.028401762633,9.76147498385177,1.11433448620016,1.05161909590883,1.63526307266866
walking,-2.81057679826,9.0163517399,-1.23651002004,-0.21539306601,-0.18003692618,0.18906250035,3.29751343142306,4.68491480984564,3.22859210393838,0.963430070658502,1.09161598157741,1.24597532838536,10.8735948304155,21.948426775511,10.4238069736132,0.928197501049045,1.19162545123522,1.55245451894499
walking,-2.75113892556,8.7683170949,-1.47985534765,-0.10945739531,-0.12834015189,0.0436172502,3.15147656876717,4.85858099796362,3.29501906822881,1.09585874030082,1.12727825728684,1.37037314459335,9.93180456348847,23.6058093137732,10.8571506599914,1.2009063786937,1.27075626935166,1.87792255542267
walking,-2.54485596134,9.113679225,-1.51015745267,0.01110077049,-0.01989440897,-0.14925231794,3.42625025823288,4.80132281266935,3.36026340460402,1.21337995360683,1.25446081666095,1.45678283860541,11.7391908320409,23.0527007514591,11.291370148321,1.47229091181491,1.57367194053767,2.12221623885525
walking,-2.5734204170848,9.3282934535,-1.38552122411,0.09802398381,0.03781585878,-0.17210999014,3.59186647819443,4.75116339276311,3.41885430135155,1.20262578763225,1.24718671342879,1.45622565807957,12.9015047971768,22.5735535847323,11.68856473387,1.44630878507809,1.55547469815331,2.12059316724927
walking,-2.5283599888548,9.3817089435,-1.55564634996,0.131039429135,0.11012726141,-0.1587799073,3.59956873941909,4.99642229503658,3.49721712887813,1.23482449754078,1.09661088679733,1.39630707468675,12.9568951098031,24.9642357503386,12.2305276465186,1.52479153972683,1.20255543704242,1.94967344682027
walking,-2.60443664785,9.219224828,-1.4661205937,0.063160706605,0.11414337585,-0.13279265957,3.39982011523084,4.94444775958722,3.52184830659529,1.26908580559648,1.16088684185038,1.38152100817712,11.5587768159282,24.447563647287,12.4034154946681,1.61057878196646,1.34765825958134,1.90860029603471
walking,-2.23997804109,8.9223747303,-0.84986632838,0.07761230263,-0.02225494134,-0.08909606762,3.11666687904576,4.72702684741652,2.98024049932231,1.22679776543073,1.26347712310619,1.40104895576887,9.71361243494085,22.3447828161966,8.88183343380089,1.50503275726584,1.59637444061269,1.96293817646103
walking,-2.13628908532,9.3609343273,-0.928275758533,0.12284698638,-0.10160522435,-0.0378799395,3.11960006429852,4.5902884176391,3.21047548247789,1.22713473584669,1.26312339098458,1.40795119834724,9.7319045611713,21.0707477571117,10.3071528235916,1.50585965992152,1.59548070085239,1.98232657692742
walking,-2.61460085406,9.908247093,-1.349030158088,0.0191970862,-0.158525085753,0.05444793885,3.29041282143353,4.40224378754682,3.7617053922711,1.31517622287192,1.27165636629582,1.36356360195517,10.8268165354541,19.3797503649946,14.1504274582415,1.72968849720766,1.61710991394069,1.85930569657695
walking,-2.48458497893,9.449597163,-1.323536390805,-0.15635833338,-0.180923463113,0.10854797094,3.39567696490013,4.6908323444231,3.70704677968056,1.24346050734276,1.29561288999633,1.31745595242195,11.5306220499534,22.003908083486,13.74219582674,1.54619403332111,1.67861276072464,1.73569018657202
walking,-2.40234314994,8.861621685,-1.3349383557,-0.21228485099,-0.16600189303,0.13444976849,3.30665778775866,4.80669428553326,3.86527815752531,1.12367965281618,1.32015265340519,1.34328534737328,10.933985725345,23.1043099545781,14.9403752350423,1.26265596215308,1.74280302829277,1.80441552446776
walking,-2.2187451161,8.8103187409,-1.47983153375,-0.11039734256,-0.125648499835,0.04495239485,3.44912489497998,5.08819031437808,4.04094454211951,1.25285043725636,1.40174083604434,1.41449959233133,11.8964625411707,25.8896806753309,16.3292327924855,1.56963421813344,1.96487737143428,2.00080909670549
walking,-2.04888183694,8.9586099384,-1.60334899545,0.0265670769,-0.028460696295,-0.089833067767,3.36474580546129,5.25606508341292,4.02153945893502,1.38298151116498,1.38296263278671,1.43958077156877,11.3215143353693,27.6262201610725,16.1727796197713,1.91263786022418,1.91258564368436,2.07239279787053
walking,-2.12336365104,9.0562230252,-1.64814757372,0.068939208242,-0.03475189127,-0.169866944467,3.21492456411137,5.23148724027603,3.95299621417776,1.38166777116536,1.32261163967517,1.41528262757217,10.3357399529267,27.3684587451709,15.6261790693037,1.90900582987705,1.74930154940424,2.00302491590758
walking,-2.1727325271,9.1813888571,-1.58704345772,0.089447020642,-0.00863647395,-0.17306061086,3.36034235301822,5.44460664713721,4.15253384856634,1.38518000586037,1.39747649575652,1.42650040489197,11.291900729488,29.6437415420507,17.2435373634891,1.91872364863533,1.95294055619193,2.03490340515696
walking,-2.243143915,9.2690876541,-1.60746705429,0.10919647444,0.01767120341,-0.1379943894,3.3970129127395,5.46506080162937,4.40939249191923,1.39711457916139,1.42401596878059,1.41124113760015,11.5396967293189,29.8668895655058,19.4427421477937,1.95192914730531,2.02782147934213,1.99160154845497
walking,-2.2183404684,9.1298776303,-1.76438110789,0.13554687564,0.04748230216,-0.16697235131,3.46828638187772,5.3696307112151,4.38809042835674,1.32842707229463,1.38934203571208,1.3874418437149,12.0290104267184,28.8329339748243,19.2553376074361,1.76471848640527,1.93027129219658,1.92499486969099
walking,-2.036146856368,9.0641258312,-1.66271544396,0.11397094618,0.00538787996,-0.12341460727,3.32295434975322,5.36491944285493,4.28778440425505,1.36838501878689,1.36591557983753,1.46377064434561,11.0420256105438,28.7823606283229,18.3850950973728,1.87247755964041,1.86572537124288,2.14262449924797
