label,TYPE_ACCELEROMETER_X(Mean),TYPE_ACCELEROMETER_Y(Mean),TYPE_ACCELEROMETER_Z(Mean),TYPE_GYROSCOPE_X(Mean),TYPE_GYROSCOPE_Y(Mean),TYPE_GYROSCOPE_Z(Mean),TYPE_ACCELEROMETER_X(S.D),TYPE_ACCELEROMETER_Y(S.D),TYPE_ACCELEROMETER_Z(S.D),TYPE_GYROSCOPE_X(S.D),TYPE_GYROSCOPE_Y(S.D),TYPE_GYROSCOPE_Z(S.D),TYPE_ACCELEROMETER_X(varience),TYPE_ACCELEROMETER_Y(varience),TYPE_ACCELEROMETER_Z(varience),TYPE_GYROSCOPE_X(varience),TYPE_GYROSCOPE_Y(varience),TYPE_GYROSCOPE_Z(varience)
walking,3.224259024,9.0658992097,0.065076892,-0.07509460655,-0.03360138185,-0.11742248517,1.87878076711988,3.17459863103845,3.5719252582212,1.43109130336405,1.00991804566749,0.474390622212434,3.52981717089956,10.0780764681912,12.7586500503186,2.04802231856421,1.01993445896485,0.225046462443101
walking,3.4061193859,9.1831265383,-0.44963074902,0.21572112791,0.13137969642,-0.14954071018,2.52125499401683,4.86533636670701,4.99578287347579,1.95351470154951,1.3373362235943,0.585894557415483,6.35672674485482,23.6714979612018,24.957846518914,3.81621968917006,1.78846817493747,0.343272432409085
walking,3.3279718065,9.23090057,-0.3956439179,0.27906036136,0.11738738828,-0.20207061846,2.59017957396796,5.16677128408121,4.90901606275112,1.92345142844849,1.31097363137883,0.535258896519814,6.70903022540083,26.6955255020062,24.0984387043485,3.69966539760054,1.71865186217061,0.286502086303609
walking,3.31549865456,9.4331071074,-0.4744580221,0.2228240981,0.0741714481,-0.20329895086,2.59235261509004,4.96734139223087,4.89542080489805,1.93928530694708,1.49677250636322,0.607313388616294,6.72029208096419,24.6744805069701,23.9651448570287,3.76082750174082,2.24032793580482,0.368829551992606
walking,3.17508055366,9.5269413295,-0.0386596719,0.0429321317,0.0096786451,-0.14363403845,2.56975391733277,5.30814999049031,5.24375609633783,2.0499384413947,1.69630937101763,0.664022471924367,6.6036351956471,28.1764563215423,27.4969779978802,4.20224761350773,2.87746548220222,0.440925843220547
walking,2.9677502322,9.0232369649,0.56985840952,-0.00879669667,-0.06584778106,-0.15498810295,2.68832786218108,5.6405667307653,5.15437014744178,2.14343471102473,1.72829949598646,0.666493218501843,7.2271066945791,31.8159930442164,26.567531616839,4.59431236042565,2.98701914782704,0.444213210308946
walking,3.02326048937,9.5231387344,0.43634338752,-0.00725861077,-0.11445769852,-0.16884155225,2.80151462719108,5.20493556753586,5.11035979636102,2.16362899112211,1.74489970598012,0.697854511615175,7.84848420636559,27.0913542621998,26.1157772482631,4.68129041122408,3.0446749839295,0.487000919381655
walking,3.30064513117,9.8243151684,-0.0398498593,-0.1185455286,-0.15837860176,-0.16978149363,2.82182333182229,5.21615302002699,5.59699238647584,2.15644035138218,1.74968797080024,0.745978464527984,7.96268691601663,27.2082523283367,31.3263237742685,4.65023498906932,3.06140799516305,0.556483869539529
walking,3.17012939175,9.49543716595,-0.21733032155,-0.18213042895,-0.08072662456,-0.13742828276,2.75608750460082,5.57321451210863,5.71976258060453,2.10289471746458,1.84877797787233,0.76096039382829,7.59601833301675,31.0607199979783,32.7156839784838,4.42216619274045,3.41798001146572,0.579060720975307
walking,2.82657638195,9.04511262125,-0.26397368717,-0.24315185675,-0.037339785,-0.10639953459,2.79296099714979,5.72948995443834,5.51938335368425,1.99558908214858,1.91391308924572,0.719449844181125,7.80063113159995,32.8270551380099,30.4635926049268,3.98237578479061,3.66306331318611,0.517608078292245
walking,3.03119308147,8.8128895441,-0.15978487032,-0.16019134884,-0.0003509604,-0.12962036058,2.88640863736502,5.68469871324869,5.39225716863359,2.0727505782331,1.84329208840902,0.707362181217905,8.33135482185539,32.3157994604113,29.0764373726803,4.29629495956564,3.39772572319129,0.500361255417351
walking,3.23763671479,9.00835967806,0.002044672,0.05637969572,0.03347625,-0.18638000361,2.79427157276289,5.34281719703585,5.23999993461034,2.17640441706475,1.7610547326607,0.683056019215877,7.80795362235082,28.545695600942,27.4575993147164,4.73673618661894,3.10131377142665,0.466565525387041
walking,3.23794617032,9.38530929966,-0.1100945945,0.14383697841,0.08189392034,-0.18862304506,2.83608296031532,5.33165276444495,5.28268706543637,2.15913497362578,1.77987801381579,0.649719302985045,8.04336655779091,28.4265212006135,27.9067826313287,4.66186383433399,3.16796574406485,0.422135172671373
walking,3.11685668834,9.61231339637,0.09116576097,0.18376313005,0.0457168592,-0.12363891468,2.84772682507162,5.45948366510889,5.34408313940864,2.09729701118255,1.75635027784681,0.672223978668811,8.10954807023251,29.8059618895908,28.5592246009117,4.39865475311524,3.08476629849257,0.451885077497326
walking,3.00312254824,9.26621337787,-0.29831056311,0.29691924905,0.08625183355,-0.15425109785,2.63839255564067,5.32901754665545,4.97631487747336,1.91168112882819,1.70462456785352,0.649355984111834,6.9611152776601,28.3984280125616,24.7637097597627,3.65452473831782,2.90574491732981,0.421663194101849
walking,2.9090264916,9.3294895905,-0.58926332608,0.197370907,0.18652649174,-0.21532592781,2.4235881868322,4.99111369637973,5.12100973510007,1.96737512974908,1.91394605146997,0.637323737099954,5.8737796993526,24.9112159301894,26.2247407069896,3.87056490115521,3.6631894879375,0.406181545871052
walking,2.85722961201,9.54845400412,0.09456968539,-0.01674347033,0.0027679457,-0.15834198118,2.70410642825878,5.10591350696438,5.55469318383672,2.13563956649875,2.11873779311011,0.696528659225551,7.31219157535048,26.0703527406013,30.8546163665621,4.56095635799498,4.48904983595309,0.485152173122544
walking,2.89933837196,9.14839097962,0.41225403377,0.00653076169,-0.04896088068,-0.13862457362,2.99658950066382,5.27522998894975,5.43588798163894,2.14527950548643,2.11615331300062,0.67702016565302,8.97954863548866,27.8280514363147,29.5488781489266,4.60222415666009,4.4781048441235,0.458356304700843
walking,2.86534667671,9.3754069592,0.30042422168,-0.01039886255,-0.06585846199,-0.15607757049,3.17739376088254,5.30122160339809,5.82490648567878,2.14176519558974,2.16376479597803,0.687875210567789,10.0958311116953,28.1029504883346,33.9295355669027,4.58715815303954,4.68187809231383,0.47317230531368
